m,g,z,target
4.556908605845106,1.076609784311969,1.7263337670168708,8.469414852449573
2.524784895083975,3.5048215633347315,4.3676227884137555,38.64874701678447
2.4992857656429615,2.109077919975095,1.60451210660307,8.457685642535063
3.08426988177078,2.425206680447536,3.6253450399256146,27.117551611560618
1.0644836175661396,3.6782559977599982,4.202597783949621,16.455033129118295
1.9007440658582082,4.631865980018553,1.5667327593187554,13.793502327246289
3.1086438314136307,2.5335964518998932,4.40964951781367,34.73061559350451
4.106451664782224,2.3175386131602806,3.7764119848476327,35.939585280724714
4.4625246214191305,2.4705995653822863,1.6159030718885226,17.815511363314464
1.2504442775697764,1.4114847905953827,4.4108413359703595,7.785060323362229
3.7677601643718996,2.081287792336578,4.551247299021163,35.68994027827041
2.3814635856221917,2.124183829723701,4.377790384744601,22.145781299149604
1.2479911612367687,4.126268289848628,1.168134758434313,6.01536408700342
3.974762045043689,4.8227209686978,4.065981434759239,77.94148226581572
3.2974347723080664,3.5635221956727268,4.299176675725752,50.51739814251757
4.738378615274119,2.1473849919691346,3.8376095581970104,39.048149759207526
4.254599811795268,1.1539790957423657,1.6498142490452574,8.100124766838876
1.6530331323288014,1.3707056049956075,1.9871009781977809,4.502416674916432
3.9780005196258728,2.9567256613209865,2.857972984578316,33.61506731704072
4.298933681989778,2.8643973586345624,2.198824551370653,27.076005120861
2.8271912573447056,3.423894134755463,2.6404278983341065,25.559351465974895
3.982306490736953,3.8631712656159563,2.8186864496019632,43.363608161182505
4.709622043803545,4.088871756478186,3.4457335423045246,66.35463057827077
1.5771563080692168,4.612245072855235,1.239680138973271,9.017720206530559
4.462949740457597,4.326296355548658,3.787351846532634,73.12635305561447
3.7243442926432957,4.312361409357456,2.1370392160529392,34.32238549207977
2.9411995695296325,3.523148041600931,2.8376542629139894,29.404572281484068
4.165088513731339,4.319981267907242,3.821887946212021,68.76762866266702
3.8133821013511744,4.0536296243735865,4.163209547496383,64.35505411445182
1.9946732422828655,4.64645062362799,3.2973843067902076,30.560654771846433
1.018865442999696,1.7154866435605989,4.96440324705144,8.677032508513975
1.1329650493499206,4.433171603567637,2.3365450866624276,11.7355979078525
2.8073589358174016,3.359909288693001,2.2261269663819188,20.99787886558165
2.057104513565131,4.938617174426374,1.3233743815308037,13.444493409209986
3.954516351701833,3.701610847932059,3.5033387241141605,51.28215470301508
1.2051839611600568,2.6795271945252055,2.272556253654185,7.338818629444423
4.030354157707242,1.0724976985910692,4.037545773070338,17.452475549223053
4.253770396247718,1.5395998898995877,4.229828894365908,27.701591165973433
1.5724093752118886,2.266588457271575,1.2407940685053838,4.422196189627341
2.4047101397695627,2.3969175549279855,3.676032224622457,21.188252542027158
3.724402153536546,1.7742608009358927,2.084515584517097,13.774605612518961
2.500512011752598,4.4198053081342,3.853365541796937,42.58653382594239
2.245229748507026,1.3757836923932434,2.878593279432792,8.891832074013388
3.1579721402001075,3.1345755704790306,1.099368980523081,10.882546155051218
3.3396634268089773,3.1376066547548818,4.245446750409322,44.48612686416335
1.3262476279654263,4.223303849050702,2.381679951381561,13.340138828671302
1.776494712182811,1.3551768954249641,1.3793736625932116,3.3207932474092976
1.9488880523723169,2.6266196940956985,4.00366527023157,20.494713433174756
2.9704242756077046,4.520772059557391,2.8269610283479807,37.9621601602929
1.155208377730517,2.527103362400597,4.466964515841376,13.04054787816317
2.1145566966119143,1.7688444345010481,4.407176032152119,16.484256784464716
2.635972950504537,3.7772770332385854,1.3136884335756265,13.080133108638073
3.728021699412741,1.2766957451994543,2.8531858624392514,13.579879178500653
1.2619181390258967,2.509534892636603,1.249406523706639,3.956655064813996
2.9668748601381827,2.16519353293225,4.587036443310744,29.46647194615642
3.3247694839046535,4.317692207072701,2.277925585455137,32.7003764353813
2.8935761979233003,2.520920072020286,2.4401835870188124,17.79985650492029
4.506567782503463,1.9164757429806514,2.9379670984583353,25.374422230102635
2.4214499975963673,3.0839616423155785,4.061768659295556,30.331902924521366
3.2606682317164126,2.9254644250258313,3.9919570912907374,38.079154598639626
1.6640860608474015,1.299216906564427,3.690550774592602,7.979003045698227
2.003262836275955,1.4262571064158989,1.3766943127595517,3.933446738309032
2.1431942444905823,2.3403255514201033,3.8947056216578906,19.53495638696733
2.4378860907165008,2.7137666392177824,4.676649785807333,30.94003192639652
1.187600013469753,4.350585678392251,1.5791073480967155,8.15886174998142
2.7566297384165375,3.048812956514307,2.400604212314621,20.175754381971583
3.5763445198478334,1.79115938996101,4.085787431420295,26.172749665271706
4.901144568782829,2.4956183513789165,3.136258041681912,38.36078373403867
1.4349853641129098,4.901063673562492,2.2499501638475947,15.823797444932856
1.973007772992129,3.7348771826093974,3.5150324741017096,25.902069419057046
4.834944096894796,2.6077026113310637,1.7784136181267622,22.422410242358747
4.004318516109722,1.8091776093043213,4.427790340455462,32.07723073114092
1.793554325378624,4.719179754471108,1.9008434966321488,16.088939439936386
3.5181346388734576,2.7128742964804813,1.4722364588478447,14.051403177123797
3.6022296061517394,3.357510142012622,1.8763142628743603,22.69312495028255
1.7479708300043835,3.7879839431145355,1.3455211796184487,8.909079791902705
1.572664606336581,1.5081011655629375,3.5686464666829756,8.463892027815344
2.3758469392335653,1.790736021189287,2.5108148704630224,10.682298762603214
3.394826566890388,4.094331333737243,4.269246203149162,59.34057880066865
3.2536600982651827,1.3067419970998366,3.4349040257884056,14.60416184925604
3.9671604135010647,4.961961135582843,1.0732262977878495,21.12634783148676
1.0269382279086003,4.090993876977858,4.045689216268731,16.99674145375411
2.1080077256334784,1.6620159332998763,4.996530384622208,17.5055561929271
2.6737662562323323,4.0687533557862,1.8167116048856489,19.763815571718666
2.6328605262766356,2.3561903573163083,4.560986941366268,28.294176374904193
4.4920841494297825,4.1772253626633145,4.508132406546584,84.59261539943058
2.3801782563724427,4.903034008462055,1.7799956886361632,20.7727186741836
4.019722714339016,3.0533637668276854,3.319299350319595,40.74000373939254
1.2064890860360546,1.0647196226003537,1.6618492743568711,2.1347660504073254
4.318407273110159,4.729774918136934,3.421765983826058,69.88989325713325
1.297476188751538,4.526470472213978,4.001469625761926,23.50058172109815
1.6774337000134198,3.4544850393107933,2.898982004237594,16.798642952164258
3.9324171490663162,2.4397982555468753,1.441946452606389,13.83447333954069
2.9426707105590717,2.006627264385809,3.1663605950971476,18.696863075421916
2.9705766276514187,3.5475027458941275,2.162651711078865,22.79030215866142
3.8718887267770667,4.557671699114907,4.88038309295985,86.12313300406306
3.002950831607879,3.6210839083476505,3.310129475257973,35.994139156980445
2.3381482744277724,3.1211796401909897,3.080764450566167,22.4827436255229
3.842073983788075,1.1812366410589972,4.7932692594472215,21.753766339806266
3.852738138590182,2.680833947117043,2.368497669873089,24.463149429723646
1.620174764327662,3.68993188072198,4.744905792669227,28.36663407184752
1.2970521974014924,2.061775981860795,3.4096453577283405,9.118179545892742
3.4720338896110325,1.8119463974828567,1.2397619315775619,7.79951500818362
1.4541189496416163,3.898548171787047,4.808860376667772,27.261202365771688
1.458913337664287,1.982020057483314,3.1120493723529443,8.998787952721722
2.813211913112017,2.5567016719551336,3.2931712584805655,23.686277864873983
2.5025568654592782,2.0228020176695307,2.709987213412872,13.718435150115752
4.517033588493051,2.5253688322444168,1.0689625212972458,12.193843445291108
4.076362658293393,1.1721067999403227,2.198563332288902,10.504586958587007
1.9005654667639198,1.8734510177984975,3.4761883368547988,12.377372882237573
3.2266765024340556,3.4323620926471308,3.8239232858562677,42.35041733850453
4.285018662193056,4.424304095353191,3.8290215048575544,72.59145357686097
2.6107700078775844,4.017652087927907,2.128665504421385,22.327924925939367
4.828886019239853,3.656604886469889,2.943051343757246,51.966423527842124
4.267837874367993,2.159277536974236,2.645673385401388,24.381061416803554
1.2047380779495676,4.5117043687072,3.6741077658137007,19.970326362296728
3.911923447665753,1.7508142266707543,2.840563969942379,19.455168140354278
4.481644243100516,2.027202692966305,4.392301441735483,39.90494267414571
3.4194208357224265,4.758447255558739,2.8245735456701606,45.95901378263202
1.7349534890248024,1.774232833184378,4.527134682112386,13.935477788255314
4.711199264372555,3.294921271682484,3.6295900187518373,56.34223718538719
1.9229778515925404,4.351046005378912,1.6857824489443254,14.104882915841872
2.9564530030959437,4.757301299931785,2.454043131252304,34.51547298190836
4.947038210576262,3.100992058877531,2.7832045968406947,42.69637969530433
1.0804623210927264,2.7623453262031794,1.699480964091593,5.072287952990714
3.9761726383678764,4.916745011732543,2.432077288944634,47.54669021418936
2.6427033109151585,4.350749657634017,1.6303070754255589,18.744847729628365
1.4414866596546032,2.2501882643580537,1.6611492241815067,5.388130807902517
3.67190957270511,2.611194115328943,2.4032848839290692,23.04286049652144
4.981832474097249,4.46719280069639,3.1926987334299204,71.05289144794237
3.206683768632816,3.7660449580830058,4.660218866683822,56.279204160704715
1.6246208143397012,2.244211111195646,4.143721209325692,15.107974723447164
1.9693622787207632,2.4874878893682864,2.83169830010412,13.871824008014096
2.7655737537479888,1.0860220830727698,1.6376251115044815,4.918564720805908
2.878986473345988,3.9292857446655067,4.9909227164091625,56.45911703959586
4.777395302169054,4.57292683189455,1.4603738517251599,31.904318997923948
2.5996183565278446,4.823902814604174,1.221019831557138,15.311962694588646
1.9167860812633268,4.343848245478268,1.4269427957098189,11.881050854633049
1.7496591730330464,1.23697863715309,4.402633790010739,9.52858077316668
3.4121766043077266,3.3629230743222496,4.390298412929696,50.37818010008649
2.678943337423931,3.4085733475862066,1.3807521431532934,12.608165407379689
2.0974240982408734,4.890547485708657,3.741715596309208,38.38084286004652
1.5154944907448566,4.518405229088811,3.5651750111140306,24.412957405080526
4.908431728650433,1.5768396525424593,3.9686416822035917,30.716531711321046
1.3370247151081882,1.2534809300213028,4.617051865166452,7.737878740798199
4.2239016851441455,4.731599490509101,3.0442305446560796,60.84141649280443
4.076667980925231,2.2602028760134725,1.9655027786883,18.110332657202314
1.3150914453490912,1.7791105629613222,2.7795835459480895,6.503372392408088
1.0463396590815122,4.076815242061917,3.5605854122094116,15.188508367497604
4.37994384862694,3.3194732173238055,4.225590426253261,61.43630838290728
3.3220213883323075,1.2044698246225325,1.0114380232519387,4.047041189982592
4.236486194379307,3.518564871328644,3.209130946076085,47.836433896268325
